Zip Code,Population,Population Percentile
90001,54492,92.3
90002,44586,85.7
90003,58198,94
90004,67852,97.1
90005,43019,84.7
90006,62784,95.9
90007,45025,86.4
90008,30852,72.3
90010,1957,26.5
90011,101215,99.8
90012,30596,71.8
90013,9732,43.8
90014,3524,32.4
90015,15140,51.1
90016,46984,88.1
90017,20692,58
90018,47143,88.4
90019,67520,97.2
90020,42394,84.2
90021,3012,31.1
90022,68701,97.3
90023,47487,88.9
90024,44150,86
90025,41175,83.3
90026,73686,98.2
90027,48727,89.9
90028,30568,71.9
90029,41713,84
90031,38415,81.1
90032,46960,88.4
90033,49431,90.4
90034,58218,94.3
90035,27799,68.9
90036,32901,75.8
90037,56709,93.9
90038,32562,75.3
90039,29310,70.9
90040,9805,44.7
90041,27866,69.2
90042,64672,96.6
90043,44764,86.8
90044,87383,99.3
90045,39334,82.5
90046,49839,90.9
90047,47107,88.8
90048,21739,60.2
90049,33523,76.7
90056,8115,42
90057,44004,86.2
90058,3642,33.6
90059,38128,81.4
90061,24511,64
90062,29299,71.1
90063,55668,93.5
90064,24505,64.1
90065,47534,89.3
90066,55204,93.2
90067,2527,29.9
90068,21728,60.4
90069,20408,59
90071,21,0.3
90077,10470,46.1
90201,105285,99.9
90210,21397,60.1
90211,8321,42.5
90212,11355,47.3
90220,47305,89.1
90221,51387,91.5
90222,29825,71.8
90230,31963,74.9
90232,15195,52.5
90240,24908,64.7
90241,40152,83.1
90242,42459,85.1
90245,16041,53.9
90247,47758,89.7
90248,9960,45.8
90249,26442,68
90250,93315,99.6
90254,18693,57.6
90255,78114,98.9
90260,33300,76.9
90262,69850,97.8
90263,11,0
90265,19630,58.7
90266,33758,77.1
90270,28094,70.3
90272,22548,61.7
90274,24979,65.4
90275,41263,84.3
90277,34191,77.7
90278,37322,81
90280,96267,99.7
90290,5451,38.6
90291,31021,74
90292,18058,57.1
90293,11264,47.9
90301,37527,81.2
90302,30779,73.7
90303,27778,69.9
90304,28680,71.1
90305,13779,51.4
90401,5221,38.4
90402,11509,48.3
90403,23559,63.2
90404,19975,59.4
90405,26099,67.8
90501,40705,83.7
90502,17058,56
90503,41979,84.7
90504,31678,74.9
90505,34873,78.2
90601,32050,75.4
90602,26265,68.3
90603,19109,58.9
90604,37887,81.4
90605,38181,81.7
90606,32148,75.6
90620,44442,86.6
90621,33528,77.3
90623,15505,54.3
90630,47344,89.2
90631,67354,97.4
90638,47568,89.6
90640,62425,96.2
90650,103214,99.9
90660,63288,96.7
90670,16271,55.4
90680,29694,72.7
90701,16398,55.6
90703,51556,91.7
90704,3699,35.4
90706,72893,98.3
90710,24660,65.8
90712,30173,73.1
90713,27563,70.4
90715,20890,60.7
90716,14852,53.8
90717,21065,61
90720,21343,61.4
90723,55306,93.6
90731,58639,95
90732,21279,61.4
90740,24180,65.1
90742,1107,21.9
90743,174,5.3
90744,53323,92.7
90745,55486,93.7
90746,25566,67.4
90802,38427,82.3
90803,31352,75
90804,43467,86.5
90805,91664,99.8
90806,49647,91.3
90807,31556,75.5
90808,37417,81.9
90810,35656,79.8
90813,63136,96.6
90814,19034,60
90815,38902,83
90822,425,12.6
91001,36243,80.6
91006,30028,73.6
91007,30933,75
91010,27414,70.8
91011,20200,61.1
91016,41067,84.7
91020,7527,43.9
91024,10558,48.8
91030,23984,65.4
91040,18752,59.9
91042,26753,70
91101,16812,57.2
91103,27891,71.4
91104,38460,82.5
91105,10253,48.8
91106,23742,65.1
91107,32369,76.7
91108,13158,52.4
91201,23981,65.4
91202,21990,62.8
91203,14493,54.4
91204,17015,57.7
91205,41390,84.6
91206,31297,75.4
91207,9864,48.4
91208,16910,57.6
91214,29110,72.7
91301,25303,67.5
91302,23661,65.2
91303,23519,64.9
91304,49242,90.8
91306,43857,86.8
91307,23637,65.1
91311,35325,79.4
91316,27614,71.2
91320,37779,82
91321,30742,74.8
91324,25751,68.8
91325,32307,76.6
91326,28067,71.8
91331,97318,99.8
91335,68018,97.7
91340,33389,78.1
91342,81986,99.5
91343,57017,94.6
91344,48867,90.9
91345,17112,58.7
91350,40077,83.8
91351,59259,95.4
91352,46639,89.3
91354,17846,59.6
91355,24977,67.8
91356,27424,71.5
91360,42526,86
91361,18735,61.1
91362,33057,78
91364,25988,69.8
91367,36123,80.6
91377,14814,56.1
91381,9937,49.7
91384,22177,64.3
91401,40376,84.2
91402,66249,97.3
91403,22085,64.2
91405,51348,92.1
91406,50047,91.9
91411,23646,66.2
91423,29387,73.8
91436,13129,53.9
91501,18112,60.8
91502,11517,52
91504,25882,69.8
91505,29245,73.5
91506,18539,61.4
91601,36625,81.4
91602,16996,59.4
91604,26157,70.3
91605,57146,94.7
91606,45358,88.4
91607,27453,71.9
91701,39064,83.6
91702,57775,94.8
91706,76890,99
91709,66754,97.6
91710,75319,98.9
91711,34716,79.8
91722,33817,79
91723,17554,60.5
91724,25068,68.7
91730,51970,92.6
91731,30211,74.9
91732,62660,96.9
91733,45645,88.8
91737,23079,66
91739,12937,54.3
91740,25135,69
91741,24973,68.9
91743,13,0
91744,84965,99.6
91745,53686,93.5
91746,30802,76.1
91748,46342,89.5
91750,35530,80.7
91752,18980,62.6
91754,33280,79.2
91755,26933,72
91759,47,0.9
91761,56280,94.7
91762,54254,93.7
91763,34447,80
91764,49474,92
91765,46532,89.7
91766,69974,98.2
91767,46626,89.9
91768,36057,81.6
91770,61623,96.5
91773,33878,79.8
91775,23444,67.5
91776,38041,83.6
91780,32718,78.9
91784,23331,67.4
91786,48827,91.7
91789,45118,89.2
91790,44099,88.3
91791,30458,76.2
91792,31622,77.9
91801,54382,93.8
91803,30635,76.8
91901,16486,60.9
91902,17389,61.8
91905,1509,27.5
91906,3133,37
91910,74025,98.8
91911,71126,98.4
91913,12884,55.5
91914,2606,34.7
91915,9278,50.7
91916,1587,28.5
91917,727,18.9
91931,796,19.8
91932,26662,72.7
91934,699,18.7
91935,8759,50
91941,44652,88.7
91942,24005,68.6
91945,24961,70
91948,81,2.4
91950,62355,96.9
91962,1604,28.6
91963,905,22
91977,56100,94.7
91978,7863,48
91980,91,3.1
92003,3849,39.5
92004,2863,35.7
92007,10375,52.4
92008,35582,81.4
92009,43161,87.9
92014,13945,57.2
92019,40995,86
92020,55277,94.5
92021,61872,96.7
92024,47126,90.8
92025,49281,92.2
92026,43436,88.3
92027,48690,92.1
92028,42239,87.3
92029,17944,62.7
92036,3577,38.7
92037,42617,87.7
92040,42277,87.4
92054,98239,99.9
92056,52895,93.7
92057,46893,90.8
92059,1831,30.4
92060,234,7.7
92061,2615,35
92064,47969,91.7
92065,33104,80.6
92066,339,11.5
92067,7615,48.1
92069,52664,93.6
92070,1143,24.7
92071,53510,93.9
92075,12173,55
92078,6760,46.8
92082,14575,58.7
92083,62036,96.8
92084,44692,89.5
92086,1205,25.4
92091,1072,24.2
92101,27505,74.3
92102,47140,91.3
92103,30202,77
92104,47689,91.8
92105,73006,98.7
92106,18525,64.1
92107,27959,75.1
92108,11650,54.9
92109,46086,90.4
92110,24169,69.7
92111,46828,91.1
92113,47431,91.5
92114,66838,98
92115,56887,95.4
92116,33083,81.1
92117,51213,93.4
92118,24093,70
92119,21866,67.6
92120,25569,72.3
92121,4258,41.7
92122,34902,82.2
92123,25232,71.7
92124,30206,77.5
92126,74232,98.9
92127,20046,66.2
92128,42733,88.8
92129,47224,91.8
92130,28201,75.7
92131,29283,76.9
92139,36351,83.8
92154,68776,98.3
92173,28488,76.4
92201,56307,95.3
92203,2743,36.7
92210,3873,40.9
92211,19702,66.3
92220,25859,73.5
92223,17721,64.1
92225,24659,71.5
92227,23394,70
92230,2355,35.3
92231,27804,75.6
92233,7857,49.7
92234,43141,89.3
92236,23170,69.7
92239,964,24
92240,22796,69.2
92241,5529,45.6
92242,1564,29.4
92243,43712,89.6
92249,3535,40
92250,8062,50.1
92251,14546,60.2
92252,8141,50.1
92253,23971,70.4
92254,8768,51.9
92256,3499,40
92257,2753,37.2
92258,732,20.2
92259,471,15.7
92260,29340,76.9
92262,24924,71.6
92264,18884,65.6
92266,291,10.2
92267,131,4.6
92268,354,12.5
92270,12465,56.6
92273,1632,30.1
92274,17018,63.5
92275,799,21
92276,6242,47.2
92277,17178,63.6
92278,14104,59.7
92280,50,1.2
92281,2388,35.6
92282,805,21.1
92283,3663,40.2
92284,20486,66.6
92285,2182,34.2
92301,18980,65.3
92304,42,1
92305,301,10.7
92307,31876,79.1
92308,28819,76.1
92309,904,23.1
92310,9465,52.6
92311,31293,78.6
92313,11024,55
92314,9899,53.6
92315,5447,45.2
92316,25995,73
92317,2150,34.1
92318,227,7.6
92320,7334,49
92321,455,15.3
92323,40,0.9
92324,52202,93.6
92325,10484,54.2
92327,678,19.5
92328,443,15.1
92332,115,3.7
92333,414,14.3
92335,82630,99.6
92336,54586,94.4
92337,29847,76.8
92338,23,0.3
92339,958,23.4
92341,317,11.1
92342,4948,44.3
92345,68515,98.3
92346,48245,92.3
92347,1933,32.4
92352,9793,53.3
92354,18068,64.5
92356,5256,44.8
92358,1090,24.8
92359,7324,48.8
92363,5488,45
92364,162,5.2
92365,2899,37.2
92368,909,23
92371,12463,56
92372,4280,42.1
92373,31230,78.2
92374,36675,83.8
92376,75882,99
92377,18518,64.9
92382,5395,44.9
92384,87,2.7
92386,1834,31.4
92389,117,3.8
92392,63235,97.5
92394,12083,55.7
92397,4253,42.1
92398,1195,25.8
92399,41575,87.8
92401,1779,30.9
92404,53636,94.3
92405,24644,70.8
92407,49355,92.9
92408,12149,55.8
92410,44556,89.9
92411,23146,69.1
92501,18999,65.2
92503,71678,98.7
92504,46550,91.5
92505,38446,85.6
92506,42425,88.8
92507,48649,92.7
92508,17147,63.7
92509,63999,97.8
92518,1005,24.3
92530,38519,85.9
92532,4546,43.5
92536,2433,35.9
92539,3745,40.9
92543,29687,77.2
92544,39264,86.7
92545,25694,73.1
92548,4283,42.7
92549,3588,40.5
92551,22983,69.2
92553,61205,97.2
92555,12743,57.1
92557,46214,91.5
92561,1500,29.3
92562,36149,83.8
92563,18311,65.4
92567,7344,49.3
92570,36817,84.8
92571,26357,74.1
92582,4456,43.5
92583,21349,68
92584,14068,59.9
92585,8692,52
92586,18161,65.3
92587,13151,58.1
92590,3070,39.1
92591,25655,73.1
92592,46171,91.3
92595,19368,66
92596,4093,42.3
92602,2762,38.1
92604,27369,75.1
92606,17621,64.7
92610,10936,55.5
92612,41062,88
92614,22499,69.1
92618,6301,48.1
92620,26419,74.1
92624,7465,50
92625,13422,59
92626,48207,92.5
92627,62069,97.2
92629,27730,75.4
92630,59176,96.3
92646,56517,95.6
92647,58764,96.2
92648,42663,89.5
92649,32304,80.6
92651,25206,72.6
92653,48273,92.9
92655,8660,52.8
92656,41237,88.6
92657,5597,46.9
92660,28687,76.9
92661,4242,43.8
92662,3124,40.2
92663,22133,69.4
92672,34946,83
92673,15297,62.2
92675,34321,82.7
92676,1859,33.6
92677,62103,97.2
92679,32268,80.8
92683,88230,99.7
92688,42193,89.3
92691,46371,92
92692,46227,92
92694,350,13.1
92701,58157,96
92703,70011,98.7
92704,91188,99.9
92705,44117,91
92706,37879,86.6
92707,62634,97.6
92708,54548,95.3
92780,55062,95.6
92782,17494,66.2
92801,60553,97.3
92802,45086,92
92804,81333,99.8
92805,68802,98.8
92806,34398,84
92807,36301,85.7
92808,19629,68.3
92821,34055,83.8
92823,1408,30.2
92831,34592,84.1
92832,24502,73.3
92833,46105,92.5
92835,21157,69.9
92840,50641,94.6
92841,31428,81.5
92843,43491,91.3
92844,23481,72.3
92845,15878,65.1
92860,22443,71.3
92861,5935,49.4
92865,18058,67.8
92866,15396,64.2
92867,40915,89.8
92868,23172,72
92869,37916,87.4
92870,48170,93.7
92879,44875,92.1
92880,16998,67.1
92881,21911,71.2
92882,60294,97.4
92883,13188,61.3
92886,39458,88.9
92887,20893,70.1
93001,32899,83.7
93003,46894,93
93004,27381,77.8
93010,42853,91.2
93012,24945,74.6
93013,17409,67.9
93015,16013,66.5
93021,32984,83.9
93022,6503,51.6
93023,21633,71.4
93030,79736,99.7
93033,77791,99.6
93035,25322,75
93040,1459,31.9
93041,25634,75.9
93060,32511,83.3
93063,49027,93.9
93065,64802,98.4
93066,2966,42.1
93067,576,19.4
93101,31727,82.5
93103,20893,71
93105,25771,76.3
93108,12741,61.6
93109,10986,59.6
93110,15757,66.6
93111,16477,67.7
93117,49975,94.6
93201,1054,27.9
93202,2872,41.6
93203,16206,67.4
93204,14697,65
93205,1954,36.8
93206,2078,37.8
93207,226,8.4
93208,191,7.4
93210,18036,68.9
93212,23506,73.1
93215,37280,87.7
93216,4425,47.2
93218,823,24.7
93219,9318,57.1
93221,13333,62.8
93222,1526,32.9
93223,8644,56.2
93224,626,21.1
93225,4498,47.3
93226,296,11.8
93230,53204,95.4
93234,6918,53
93235,4517,47.4
93238,1873,35.9
93239,1809,35.2
93240,5564,49.7
93241,15364,65.6
93242,2900,41.8
93243,1247,30.3
93244,293,11.7
93245,30419,80.4
93247,15508,66
93249,2502,40
93250,10781,59.2
93251,302,12.3
93252,4357,47.1
93254,798,24
93255,655,21.9
93256,4198,46.3
93257,65566,98.4
93260,266,10.8
93261,2956,41.8
93262,56,1.4
93263,15177,65.1
93265,3546,44.3
93266,1729,34.6
93267,5689,49.6
93268,14937,64.8
93270,5868,50.2
93271,2318,39.2
93272,2951,41.8
93274,56101,96.3
93276,236,9.3
93277,44741,92.4
93280,22760,71.8
93282,63,1.5
93283,1935,36.7
93285,2515,40.1
93286,8870,55.8
93287,88,3.1
93291,36718,86.9
93292,30395,80.1
93301,12963,61.3
93304,44588,92.2
93305,35643,85.6
93306,53481,95.5
93307,59195,97.1
93308,44915,92.6
93309,58632,97
93311,20440,70.4
93312,40836,90.6
93313,25126,74.9
93401,27047,77.8
93402,14859,65.3
93405,31982,82.9
93420,24499,74.4
93422,29539,80.1
93424,812,24.8
93426,1363,32.2
93427,4644,48.2
93428,6526,52.3
93429,210,8.1
93430,3220,43.7
93432,1203,30.3
93433,13106,62.4
93434,5726,50.5
93435,28,0.6
93436,51737,95.2
93437,6165,51.1
93440,1328,31.8
93441,1317,31.8
93442,10909,59.6
93444,15405,65.6
93445,7435,53.5
93446,35586,85.7
93447,804,24.7
93449,8564,55.8
93450,670,22.8
93451,2666,41.6
93452,471,18
93453,2687,41.6
93454,30540,80.6
93455,37364,87.8
93458,43684,92.1
93460,5710,50.5
93461,1255,31.2
93463,7958,54.3
93465,7918,54.1
93501,4882,49.1
93505,8316,54.6
93510,7831,54
93512,340,14
93513,1826,36.2
93514,13309,62.3
93516,2241,39.8
93517,826,25.5
93518,1022,28.7
93522,64,1.5
93523,7685,53.6
93526,734,23.7
93527,2213,39.1
93528,207,8.1
93529,618,21.9
93530,71,1.7
93531,1436,32.3
93532,2771,41.7
93534,35109,85.1
93535,57794,96.6
93536,49309,94.3
93541,504,19
93543,11198,59.4
93544,1220,30.7
93545,1910,36.8
93546,8217,53.8
93549,318,13
93550,67232,98.6
93551,34045,84.6
93552,25370,75
93553,1613,34.5
93554,117,4.4
93555,29782,80.1
93560,14931,64.5
93561,25805,75.9
93562,1991,37.6
93563,413,16.9
93591,6787,52.3
93601,1968,37.5
93602,3464,44.2
93603,273,11.3
93604,613,21.4
93605,273,11.3
93606,807,24.5
93608,1766,35.4
93609,5446,49.1
93610,19391,68.8
93611,46858,93.3
93612,33856,84.3
93614,9395,56.1
93615,5519,49.6
93616,1965,37.4
93618,24206,73.4
93620,9388,56
93621,506,19.2
93622,9491,56.1
93623,77,2.4
93624,1852,36.4
93625,5635,49.6
93626,1125,29.4
93627,152,5.8
93628,93,3.7
93630,14062,63.1
93631,14088,63.2
93634,52,1.2
93635,29124,79.3
93637,28434,78.6
93638,49247,94.1
93640,9174,55.8
93641,571,20.1
93643,3376,44
